No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
2,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",50,TV-14,NA,"AnthonyMackie,SebastianStan,WyattRussell,ErinKellyman","Following the events of 'Avengers: Endgame,' Sam Wilson/Falcon and Bucky Barnes/Winter Soldier team up in a global adventure that tests their abilities -- and their patience.",7.5,NA,105557,NA,Marvel
3,WandaVision,2021,"Action,Comedy,Drama",350,TV-PG,NA,"ElizabethOlsen,PaulBettany,KathrynHahn,TeyonahParris","Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.",8.1,NA,174710,NA,Marvel
6,Avengers: Endgame,2019,"Action,Adventure,Drama",181,PG-13,"AnthonyRusso,JoeRusso","RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,78,880911,$858.37M,Marvel
7,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",121,PG-13,JamesGunn,"ChrisPratt,VinDiesel,BradleyCooper,ZoeSaldana",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8,76,1066222,$333.18M,Marvel
9,Spider-Man: Far from Home,2019,"Action,Adventure,Sci-Fi",129,PG-13,JonWatts,"TomHolland,SamuelL.Jackson,JakeGyllenhaal,MarisaTomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.5,69,348047,$390.53M,Marvel
10,Thor: Ragnarok,2017,"Action,Adventure,Comedy",130,PG-13,TaikaWaititi,"ChrisHemsworth,TomHiddleston,CateBlanchett,MarkRuffalo","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnar<U+00F6>k, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9,74,615860,$315.06M,Marvel
11,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",149,PG-13,"AnthonyRusso,JoeRusso","RobertDowneyJr.,ChrisHemsworth,MarkRuffalo,ChrisEvans",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,68,881638,$678.82M,Marvel
12,Black Panther,2018,"Action,Adventure,Sci-Fi",134,PG-13,RyanCoogler,"ChadwickBoseman,MichaelB.Jordan,LupitaNyong'o,DanaiGurira","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3,88,652032,$700.06M,Marvel
13,Captain Marvel,2019,"Action,Adventure,Sci-Fi",123,PG-13,"AnnaBoden,RyanFleck","BrieLarson,SamuelL.Jackson,BenMendelsohn,JudeLaw",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,6.9,64,470319,$426.83M,Marvel
15,Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi",133,PG-13,JonWatts,"TomHolland,MichaelKeaton,RobertDowneyJr.,MarisaTomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",7.4,73,532946,$334.20M,Marvel
16,Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",141,PG-13,JossWhedon,"RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3,66,769385,$459.01M,Marvel
17,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",124,PG-13,JoeJohnston,"ChrisEvans,HugoWeaving,SamuelL.Jackson,HayleyAtwell","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",6.9,66,761947,$176.65M,Marvel
18,Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",136,PG-13,JamesGunn,"ChrisPratt,ZoeSaldana,DaveBautista,VinDiesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6,67,589362,$389.81M,Marvel
19,Thor,2011,"Action,Adventure,Fantasy",115,PG-13,KennethBranagh,"ChrisHemsworth,AnthonyHopkins,NataliePortman,TomHiddleston","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",7,57,764898,$181.03M,Marvel
20,Iron Man,2008,"Action,Adventure,Sci-Fi",126,PG-13,JonFavreau,"RobertDowneyJr.,GwynethPaltrow,TerrenceHoward,JeffBridges","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,79,960817,$318.41M,Marvel
21,Captain America: Civil War,2016,"Action,Adventure,Sci-Fi",147,PG-13,"AnthonyRusso,JoeRusso","ChrisEvans,RobertDowneyJr.,ScarlettJohansson,SebastianStan",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8,75,686621,$408.08M,Marvel
22,The Avengers,2012,"Action,Adventure,Sci-Fi",143,PG-13,JossWhedon,"RobertDowneyJr.,ChrisEvans,ScarlettJohansson,JeremyRenner",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8,69,1283515,$623.28M,Marvel
24,Brightburn,2019,"Drama,Horror,Mystery",90,R,DavidYarovesky,"ElizabethBanks,DavidDenman,JacksonA.Dunn,AbrahamClinkscales","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",6.1,44,84999,$17.30M,Marvel
25,Doctor Strange,2016,"Action,Adventure,Fantasy",115,PG-13,ScottDerrickson,"BenedictCumberbatch,ChiwetelEjiofor,RachelMcAdams,BenedictWong","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5,72,619963,$232.64M,Marvel
26,Ant-Man,2015,"Action,Adventure,Comedy",117,PG-13,PeytonReed,"PaulRudd,MichaelDouglas,CoreyStoll,EvangelineLilly","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",7.3,64,588231,$180.20M,Marvel
27,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",136,PG-13,"AnthonyRusso,JoeRusso","ChrisEvans,SamuelL.Jackson,ScarlettJohansson,RobertRedford","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",7.7,70,756882,$259.77M,Marvel
28,Iron Man 3,2013,"Action,Adventure,Sci-Fi",130,PG-13,ShaneBlack,"RobertDowneyJr.,GuyPearce,GwynethPaltrow,DonCheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.1,62,772986,$409.01M,Marvel
31,Thor: The Dark World,2013,"Action,Adventure,Fantasy",112,PG-13,AlanTaylor,"ChrisHemsworth,NataliePortman,TomHiddleston,StellanSkarsg<U+00E5>rd","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",6.9,54,611700,$206.36M,Marvel
32,Iron Man 2,2010,"Action,Adventure,Sci-Fi",124,PG-13,JonFavreau,"RobertDowneyJr.,MickeyRourke,GwynethPaltrow,DonCheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7,57,739920,$312.43M,Marvel
33,Spider-Man 3,2007,"Action,Adventure,Sci-Fi",139,PG-13,SamRaimi,"TobeyMaguire,KirstenDunst,TopherGrace,ThomasHadenChurch","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.2,59,509072,$336.53M,Marvel
34,Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",118,PG-13,PeytonReed,"PaulRudd,EvangelineLilly,MichaelPe<U+00F1>a,WaltonGoggins","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7,70,327092,$216.65M,Marvel
35,The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",112,PG-13,LouisLeterrier,"EdwardNorton,LivTyler,TimRoth,WilliamHurt","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7,61,444258,$134.52M,Marvel
40,Long Shot,2019,"Comedy,Romance",125,R,JonathanLevine,"CharlizeTheron,SethRogen,JuneDianeRaphael,O'SheaJacksonJr.","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",6.8,67,99733,$30.32M,Marvel
41,Ralph Breaks the Internet,2018,"Animation,Adventure,Comedy",112,PG,"PhilJohnston,RichMoore","JohnC.Reilly,SarahSilverman,GalGadot,TarajiP.Henson","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",7,71,137872,$201.09M,Marvel
42,Fantastic 4: Rise of the Silver Surfer,2007,"Action,Adventure,Fantasy",92,PG,TimStory,"IoanGruffudd,JessicaAlba,ChrisEvans,MichaelChiklis",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,5.6,45,253509,$131.92M,Marvel
49,Guardians of the Galaxy: Inferno,2017,"Short,Comedy,Music",4,Not Rated,"JamesGunn,DavidYarovesky","DavidHasselhoff,ChrisPratt,DaveBautista,KarenGillan","A Guardians of the Galaxy video, the Guardians Inferno, featuring 80s pop star Zardu Hasselfrau.",8.1,NA,1571,NA,Marvel
52,Punisher: War Zone,2008,"Action,Crime,Drama",103,R,LexiAlexander,"RayStevenson,DominicWest,JulieBenz,DougHutchison","Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",5.9,30,60678,$7.95M,Marvel
55,Marvel Studios: Legends,2021,"Action,Fantasy,Sci-Fi",7,TV-14,NA,NA,This series showcases individual characters from the MCU viewers have come to know and love over the years and revisit some of their most iconic moments.,6.5,NA,2687,NA,Marvel
56,Mutant X,2001,"Action,Adventure,Drama",60,TV-PG,NA,"VictoriaPratt,ForbesMarch,VictorWebster,JohnShea","A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent.",5.9,NA,3982,NA,Marvel
58,Marvel Studios: Assembled,2021,Documentary,58,TV-14,NA,"KevinFeige,FlorencePugh,JacSchaeffer,NateMoore","Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU.",8,NA,1120,NA,Marvel
61,Iron Man: Armored Adventures,2008,"Animation,Action,Adventure",22,TV-Y7,NA,"AdrianPetriw,DanielBacon,AnnaCummer,LisaAnnBeley",A teenage Tony Stark battles evil with his revolutionary power armor technology.,6.5,NA,3103,NA,Marvel
62,Marvel One-Shot: Agent Carter,2013,"Short,Action,Adventure",15,Not Rated,LouisD'Esposito,"HayleyAtwell,BradleyWhitford,DominicCooper,TimTrobec","Frustrated at being marginalized at work, Peggy Carter goes on an unauthorized solo field mission.",7.6,NA,8192,NA,Marvel
63,Team Thor,2016,"Short,Comedy,Fantasy",4,Not Rated,TaikaWaititi,"ChrisHemsworth,MarkRuffalo,DaleyPearson","The story of what the hammer-wielding Nordic god Thor was up to while the rest of the Avengers were battling each other in ""Captain America: Civil War"". He moves into a flat with office worker Darryl Jacobson in Australia.",8.1,NA,8154,NA,Marvel
64,The Oscars,2014,"Comedy,Music",175,TV-14,HamishHamilton,"EllenDeGeneres,AnneHathaway,BarkhadAbdi,BradleyCooper",The Academy of Motion Picture Arts and Sciences celebrates the previous year's (2013) achievements in film.,7.8,NA,3900,NA,Marvel
65,Hulk Vs.,2009,"Animation,Action,Adventure",82,PG-13,"SamLiu,FrankPaur","FredTatasciore,MatthewWolf,GrahamMcTavish,GreyGriffin",Two stories featuring Marvel's anti-hero The Incredible Hulk and his encounters with the X-Man Wolverine and the god known as Thor.,7,NA,11785,NA,Marvel
66,Wolverine,2011,"Animation,Action,Sci-Fi",23,TV-14,NA,"RikiyaKoyama,VicMignogna,MiloVentimiglia,RomiPak","Logan is asked by his old friend, a cop from Japan, to help him take down Shingen Yashida's crime syndicate and save Mariko, Logan's lost love, from forced marriage arranged by her father Shingen. Yukio, a female assassin, helps him.",6.4,NA,1263,NA,Marvel
67,The Oscars,2020,Music,170,TV-14,GlennWeiss,"ZazieBeetz,KeanuReeves,Timoth<U+00E9>eChalamet,BradPitt",The 92nd Academy Awards for film achievements in 2019 are presented by the Academy of Motion Picture Arts and Sciences.,6.6,NA,982,NA,Marvel
70,Ultimate Avengers: The Movie,2006,"Animation,Action,Adventure",72,PG-13,"CurtGeda,StevenE.Gordon,BobRichardson","JustinGross,GreyGriffin,MichaelMassee,MarcWorden","To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.",6.7,NA,12057,NA,Marvel
71,The Oscars,2016,"Comedy,Music",175,TV-14,GlennWeiss,"ChrisRock,EmilyBlunt,CharlizeTheron,TomMcCarthy",The 88th Academy Awards ceremony honors achievement in film in 2015.,6.4,NA,2024,NA,Marvel
72,The Oscars,2015,"Comedy,Music",223,TV-14,HamishHamilton,"NeilPatrickHarris,AnnaKendrick,LupitaNyong'o,RobertDuvall",The Academy of Motion Picture Arts and Sciences celebrates the year's achievements in film.,6.6,NA,3655,NA,Marvel
73,Iron Man,2010,"Animation,Action,Sci-Fi",25,TV-14,NA,"AdrianPasdar,BenDiskin,EdenRiegel,LauraBailey","When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan.",6.4,NA,1123,NA,Marvel
74,Marvel One-Shot: Item 47,2012,"Short,Action,Sci-Fi",12,Not Rated,LouisD'Esposito,"LizzyCaplan,JesseBradford,MaximilianoHern<U+00E1>ndez,TitusWelliver",SHIELD agent Sitwell is assigned to recover an abandoned Chitauri weapon being used by a young couple robbing a bank.,6.7,NA,8028,NA,Marvel
75,Marvel One-Shot: The Consultant,2011,"Short,Sci-Fi",4,Not Rated,Leythum,"ClarkGregg,MaximilianoHern<U+00E1>ndez,DeborahKnox,RobertDowneyJr.","Agents Coulson and Sitwell plan to derail General Thaddeus ""Thunderbolt"" Ross from interfering with S.H.I.E.L.D. affairs with a very special person.",6.6,NA,5979,NA,Marvel
76,The Invincible Iron Man,2007,"Animation,Action,Adventure",83,PG-13,"PatrickArchibald,JayOliva,FrankPaur","MarcWorden,GwendolineYeo,FredTatasciore,RodneySaulsberry","When a cocky industrialist's efforts to raise an ancient Chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.",5.9,NA,6991,NA,Marvel
77,Blade,2011,"Animation,Action,Horror",25,Not Rated,NA,"Akio<U+00D4>tsuka,MaayaSakamoto,KimMaiGuest,HaroldPerrineau","Legendary half-vampire, half-human vampire hunter Blade is tracking Deacon Frost, a very powerful and influential vampire who killed his mother and who heads Existence, a secretive vampire organization that operates in Southeast Asia.",6.5,NA,921,NA,Marvel
79,Thor: Tales of Asgard,2011,"Animation,Action,Adventure",77,Not Rated,SamLiu,"MatthewWolf,RickGomez,TaraStrong,AlistairAbell",The young Norse god Thor embarks on a quest with his brother Loki to find and recover a legendary sword.,6.3,NA,5158,NA,Marvel
80,The Oscars,2018,"Comedy,Music",187,TV-14,GlennWeiss,"JimmyKimmel,HelenMirren,ViolaDavis,WillemDafoe","The 90th Annual Academy Awards ceremony, hosted by Jimmy Kimmel, celebrates the film industry's biggest achievements for the year 2017.",5.7,NA,1442,NA,Marvel
81,The Oscars,2017,"Comedy,Music",229,TV-14,GlennWeiss,"JimmyKimmel,JustinTimberlake,AliciaVikander,MahershalaAli","The 89th Annual Academy Awards ceremony celebrates the film industry's best and biggest in cinema for the year 2016 with host Jimmy Kimmel, including awards for best actors, directors, songs, original screenplays and motion picture.",6.7,NA,1862,NA,Marvel
84,Iron Man and Captain America: Heroes United,2014,"Animation,Action,Adventure",71,PG,"EricRadomski,LeoRiley","AdrianPasdar,RogerCraigSmith,FredTatasciore,DavidKaye","Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world.",5.5,NA,1595,NA,Marvel
86,Iron Man & Hulk: Heroes United,2013,"Animation,Action,Adventure",71,PG,"EricRadomski,LeoRiley","AdrianPasdar,FredTatasciore,DeeBradleyBaker,RobinAtkinDownes",The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet.,4.7,NA,2192,NA,Marvel
88,Marvel Studios: Expanding the Universe,2019,"Documentary,Short",12,TV-PG,NA,"StephenBroussard,KevinFeige,MaryLivanos,KevinR.Wright","An exciting look into the future of Marvel Studios, including never-before-seen footage featuring tales and filmmakers from upcoming Disney+ series.",6.8,NA,261,NA,Marvel
89,Marvel Studios: Assembling a Universe,2014,"Documentary,History",43,TV-PG,NA,"AxelAlonso,VictoriaAlonso,HayleyAtwell,JeffreyBell","A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",7.4,NA,1279,NA,Marvel
90,Stuntwomen: The Untold Hollywood Story,2020,Documentary,84,Not Rated,AprilWright,"MichelleJubileeGonzalez,JuanAbdias,AndyArmstrong,TammieBaird",An action-documentary about the evolution of stunt women from The Perils of Pauline (1914) and beyond.,7,53,104,NA,Marvel
93,Spider-Man: The Ultimate Villain Showdown,2002,"Animation,Action,Adventure",79,TV-Y7,BobRichardson,"DimitraArliss,SaraBallantine,ChristopherDanielBarnes,BobBergen","Featuring Green Goblin, Kingpin, and Dr. Octopus.",7,NA,184,NA,Marvel
107,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,BradTurner,"JohnShea,VictoriaPratt,LaurenLeeSmith,ForbesMarch","Mutant X encounters a new faction of New Mutants - the Strand, led by the powerful first mutant, Gabriel Ashlocke.",7.1,NA,32,NA,Marvel
108,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,AlanGoluboff,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche",Mutant X tracks down a rogue scientist while Shalimar breaks away from the team to help Adam save the scientist and uncover the real bad guy.,5.6,NA,27,NA,Marvel
109,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,BillCorcoran,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche",Mutant X unearths an old military experiment involving an age-reversal serum and is surprised to discover that Jesse's grandfather is a one of the test subjects.,5.4,NA,19,NA,Marvel
110,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,AndrewPotter,"ForbesMarch,VictoriaPratt,LaurenLeeSmith,VictorWebster","A young New Mutant from Adam's past shows up, seeking revenge for her father's death.",6.8,NA,30,NA,Marvel
111,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,AndrewPotter,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche","As the Mutant X team fights to retrieve a formula hidden in a collection of artwork, Shalimar is given vital information from a mysterious source.",6.1,NA,22,NA,Marvel
112,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,OleySassone,"ForbesMarch,VictoriaPratt,LaurenLeeSmith,VictorWebster",The team face their most dangerous mission yet when they set out to stop a group of eco-terrorists.,6.4,NA,21,NA,Marvel
113,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,JohnFawcett,"JohnShea,VictoriaPratt,VictorWebster,DerwinJordan","Jesse is roped into a deadly undercover mission by his estranged father, who is working against Eckhart.",6.5,NA,30,NA,Marvel
114,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,BrentonSpencer,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","A mutant who was disembodied takes over the bodies of various people. And sets out to go after the ones who did this to him. And one of them is a doctor, Shalamar likes.",6.2,NA,24,NA,Marvel
115,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,TimothyBond,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche",The Mutant X team learns about Lexa's estranged twin brother when he becomes the main target of an underground operation harvesting mutant organs.,5.9,NA,24,NA,Marvel
116,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,JonathanHackett,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche","Lexa's suspicions lead Mutant X to unveil a traveling death camp, which is posed as a circus for mutant refugees and Mutant X's enemy within the Dominion.",6.1,NA,28,NA,Marvel
117,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,BillCorcoran,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche","While Brennan and Shalimar investigate a mysterious plane crash, Lexa contemplates her future with the Mutant X team.",5.4,NA,22,NA,Marvel
118,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,GraemeCampbell,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","A boy who's developing new mutant abilities has been kidnapped. The team tries to find him, for his mother. They later learn she was the one who had her son kidnapped. She said it was too ...                See full summary <U+00BB>",6.3,NA,38,NA,Marvel
119,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,StaceyStewartCurtis,"ForbesMarch,VictoriaPratt,LaurenLeeSmith,VictorWebster","The team set out to save Brennan, who has become trapped inside an invisible town - and is facing execution for a crime he didn't commit.",6,NA,24,NA,Marvel
120,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,JorgeMontesi,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","Mutant X and Genomex are both captured on film using their powers, and they both have to deal with the reporter who plans to go public with the information.",5.9,NA,28,NA,Marvel
121,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,JonCassar,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch",The team encounters some people trying to break into a Genomex lab and discover that they're ferals. They learn that they're military and that they're entire unit was experimented on which ...                See full summary <U+00BB>,6.5,NA,30,NA,Marvel
122,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,BradTurner,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch",The team tries to stop Eckhart from acquiring a rare element. But a thief gets it. The woman who has the ability to make men fall in love with her sets her sights on Brennan. She makes him ...                See full summary <U+00BB>,6.5,NA,34,NA,Marvel
123,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,RichardFlower,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche",Brennan is forced to return to his criminal past when Mutant X discovers that his old partner is involved in stealing secrets from the Dominion.,6.1,NA,22,NA,Marvel
124,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,JonCassar,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","An old friend of Brennan's lures him and Emma into a trap - Emma ends up split into two separate entities, one good and one evil.",6.3,NA,32,NA,Marvel
125,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,BillCorcoran,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche",Mutant X must stop a scientist from cloning women for use as slaves in his ultra-exclusive men's club.,5.7,NA,20,NA,Marvel
126,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,JorgeMontesi,"JohnShea,VictoriaPratt,LaurenLeeSmith,ForbesMarch",Shalimar's former boyfriend shows up and is trying to recover a Faberge Egg that holds a microchip of extraordinary power.,6.1,NA,31,NA,Marvel
127,Mutant X,2001,"Action,Adventure,Drama",43,TV-14,BillCorcoran,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","A mysterious tribunal finds Adam guilty of trying to dominate the world with his super-mutants and sentences him to death, sparking the rest of the team into life as they set out on a mission to save him.",5.7,NA,20,NA,Marvel
128,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,T.J.Scott,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","Shalimar becomes close to another feral when it's ""lust at first sight,"" but matters become complicated when her new boyfriend tries to find a cure for his condition.",6.4,NA,55,NA,Marvel
129,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,OleySassone,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch",The team go undercover to investigate unexplained deaths in a prison.,6.4,NA,19,NA,Marvel
130,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,JonCassar,"ForbesMarch,VictoriaPratt,LaurenLeeSmith,VictorWebster","Brennan is captured and falls under Eckhart's control, and forced to work against the New Mutants.",6.3,NA,63,NA,Marvel
131,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,AndrewPotter,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche","When Jesse's life hangs in the balance, Brennan must connect to him and lead him through past memories they've shared in order to save his life.",6.5,NA,23,NA,Marvel
132,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,JohnBell,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","Jesse falls in love with a computer hacker, who Eckhart wants to ""procure"" to use to corrupt the public computer news channels against New Mutants and to the GSA's benefit.",6.1,NA,39,NA,Marvel
133,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,AndrewPotter,"ForbesMarch,VictoriaPratt,LaurenLeeSmith,VictorWebster","The team are on the trail of a pyromaniac mutant who is causing mayhem, and Shalimar is forced to set aside her fear of fire to save Emma",6.4,NA,17,NA,Marvel
134,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,KenGirotti,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","Emma reunites with an old friend who possesses telecyber powers. The reunion turns dangerous, however, when Michelle tries to turn Emma over to the GSA.",4,NA,46,NA,Marvel
135,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,PhilipDavidSegal,"VictoriaPratt,VictorWebster,ForbesMarch,KarenCliche","In the exciting season opener, the surviving members of Mutant X emerge from a deadly explosion to meet the beautiful and mysterious Lexa, who makes them begin to question fundamental assumptions about their world.",6.7,NA,23,NA,Marvel
136,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,AndrewPotter,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch",A New Mutant is kidnapped from his family and Mutant X set out to recover him and find out what Eckhart's interest in him is.,6.4,NA,50,NA,Marvel
137,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,JohnBell,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch",The team encounters a mutant who kills other mutants by draining their energy. And can also come back to life after being killed. He eventually captures Emma.,6.5,NA,32,NA,Marvel
138,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,JonathanHackett,"ForbesMarch,VictoriaPratt,LaurenLeeSmith,VictorWebster",Shalimar reluctantly agrees to contact her estranged father when the team learn his company is involved in genetic testing and manipulation.,5.7,NA,20,NA,Marvel
139,Mutant X,2001,"Action,Adventure,Drama",42,TV-PG,JohnBell,"JohnShea,VictoriaPratt,VictorWebster,ForbesMarch","Eckhart seeks a mutant who can absorb energy, one who Brennan becomes romantically involved with.",6.7,NA,39,NA,Marvel
140,Mutant X,2001,"Action,Adventure,Drama",43,TV-PG,GraemeCampbell,"ForbesMarch,VictoriaPratt,LaurenLeeSmith,VictorWebster",When a plague that only affects mutants is raging. Adam and Eckhart agree to work together to find a cure. And helping Adam is a mutant who is impervious to harm who thinks of it more as a curse rather than a blessing.,6.5,NA,44,NA,Marvel
